classification,seller_institution_id,seller_name,loanbook_ref,loan_id,borrower_id,borrower_display_name,vehicle_type,state,origination_date,as_of_date,original_principal_inr,principal_outstanding_inr,annual_interest_rate_percent,original_term_months,instalments_paid,scheduled_instalment_inr,days_past_due,missed_instalments
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0001,SYN-A-BR-0001,Synthetic Borrower A0001,Electric two-wheeler,Karnataka,2025-02-15,2026-09-15,177500.0,119547.07,15.0,48,19,4939.96,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0002,SYN-A-BR-0002,Synthetic Borrower A0002,Electric two-wheeler,Tamil Nadu,2025-03-15,2026-09-15,195000.0,109067.94,16.0,36,18,6855.62,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0003,SYN-A-BR-0003,Synthetic Borrower A0003,Electric two-wheeler,Maharashtra,2025-04-15,2026-09-15,212500.0,152976.69,17.0,48,17,6131.7,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0004,SYN-A-BR-0004,Synthetic Borrower A0004,Electric two-wheeler,Karnataka,2025-05-15,2026-09-15,230000.0,142758.11,18.0,36,16,8315.05,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0005,SYN-A-BR-0005,Synthetic Borrower A0005,Electric two-wheeler,Tamil Nadu,2025-06-15,2026-09-15,247500.0,184366.45,14.0,48,15,6763.3,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0006,SYN-A-BR-0006,Synthetic Borrower A0006,Electric two-wheeler,Maharashtra,2025-07-15,2026-09-15,265000.0,189460.65,15.0,36,12,9186.31,66,2
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0007,SYN-A-BR-0007,Synthetic Borrower A0007,Electric two-wheeler,Karnataka,2025-08-15,2026-09-15,282500.0,222755.03,16.0,48,13,8006.13,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0008,SYN-A-BR-0008,Synthetic Borrower A0008,Electric two-wheeler,Tamil Nadu,2025-09-15,2026-09-15,300000.0,216329.46,17.0,36,12,10695.82,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0009,SYN-A-BR-0009,Synthetic Borrower A0009,Electric two-wheeler,Maharashtra,2025-01-15,2026-09-15,160000.0,106815.57,18.0,48,20,4700.0,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0010,SYN-A-BR-0010,Synthetic Borrower A0010,Electric two-wheeler,Karnataka,2025-02-15,2026-09-15,177500.0,93057.89,14.0,36,19,6066.53,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0011,SYN-A-BR-0011,Synthetic Borrower A0011,Electric two-wheeler,Tamil Nadu,2025-03-15,2026-09-15,195000.0,135071.99,15.0,48,18,5427.0,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0012,SYN-A-BR-0012,Synthetic Borrower A0012,Electric two-wheeler,Maharashtra,2025-04-15,2026-09-15,212500.0,141636.21,16.0,36,14,7470.87,93,3
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0013,SYN-A-BR-0013,Synthetic Borrower A0013,Electric two-wheeler,Karnataka,2025-05-15,2026-09-15,230000.0,169805.84,17.0,48,16,6636.66,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0014,SYN-A-BR-0014,Synthetic Borrower A0014,Electric two-wheeler,Tamil Nadu,2025-06-15,2026-09-15,247500.0,160165.37,18.0,36,15,8947.72,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0015,SYN-A-BR-0015,Synthetic Borrower A0015,Electric two-wheeler,Maharashtra,2025-07-15,2026-09-15,265000.0,202283.99,14.0,48,14,7241.52,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0016,SYN-A-BR-0016,Synthetic Borrower A0016,Electric two-wheeler,Karnataka,2025-08-15,2026-09-15,282500.0,194703.9,15.0,36,13,9792.96,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0017,SYN-A-BR-0017,Synthetic Borrower A0017,Electric two-wheeler,Tamil Nadu,2025-09-15,2026-09-15,300000.0,241831.68,16.0,48,12,8502.08,0,0
SYNTHETIC_ONLY,demo-nbfc-ev-001,AssureRail Synthetic EV Finance NBFC,SYN-EV-2W-2025,SYN-A-LN-0018,SYN-A-BR-0018,Synthetic Borrower A0018,Electric two-wheeler,Maharashtra,2025-01-15,2026-09-15,160000.0,85646.28,17.0,36,19,5704.44,30,1
