phase,item,owner,required_for_demo,required_for_replay_data,required_for_shadow,status,evidence_or_reference,decision_note
T-24,Named pilot sponsor,Founder or relationship owner,YES,YES,YES,OPEN,,
T-24,Audience and single meeting objective recorded,Pilot sponsor,YES,YES,YES,OPEN,,
T-24,Exact build commit and environment recorded,Technical operator,YES,YES,YES,OPEN,,
T-24,Approved synthetic script selected,Demo operator,YES,NO,NO,OPEN,,
T-12,Source preflight passed on exact commit,Technical operator,YES,YES,YES,OPEN,,
T-12,Private browser rehearsal passed,Technical operator,YES,YES,YES,OPEN,,
T-12,Credentials delivered through private channel,Security owner,YES,YES,YES,OPEN,,
T-12,Synthetic labels and no-customer-data check passed,Demo operator,YES,NO,NO,OPEN,,
T-12,Encrypted static fallback prepared,Demo operator,YES,NO,NO,OPEN,,
T-4,Contracting entity and signatory confirmed,Legal or commercial owner,NO,YES,YES,OPEN,,
T-4,NDA and purpose accepted,Legal or data owner,NO,YES,YES,OPEN,,
T-4,Data owner and right-to-provide evidence accepted,Customer data owner,NO,YES,YES,OPEN,,
T-4,Minimised data schedule approved,Privacy or security owner,NO,YES,YES,OPEN,,
T-4,Secure transfer and retention path approved,Security owner,NO,YES,YES,OPEN,,
T-4,Commercial schedule approved,Commercial owner,NO,YES,YES,OPEN,,
T-4,Authenticated two-tenant E2E and required security acceptance,Security owner,NO,NO,YES,OPEN,,
T-4,Incumbent authoritative process and records named,Transaction owner,NO,YES,YES,OPEN,,
T-4,External participants/providers and responsibilities confirmed,Pilot operations,NO,NO,YES,OPEN,,
T-1,Safe-pause and fallback rehearsed,Technical and pilot operators,YES,YES,YES,OPEN,,
T-1,GO or NO-GO decision recorded,Pilot sponsor,YES,YES,YES,OPEN,,
T+4h,Meeting decisions and next owner/date recorded,Relationship owner,YES,YES,YES,OPEN,,
T+4h,Claims/content correction review completed,Product owner,YES,YES,YES,OPEN,,
